priority,status,category,ichome_title,jan,price,url,matched_product_name,matched_by
S,new_candidate,スマートフォン,iPhone 17e 512GB ソフトピンク,4549995677737,100000,https://www.1-chome.com/mobileDetail/1445/1445,,
S,new_candidate,スマートフォン,iPhone 17e 512GB ブラック,4549995677638,100000,https://www.1-chome.com/mobileDetail/1445/1445,,
S,new_candidate,スマートフォン,iPhone 17e 512GB ホワイト,4549995677683,100000,https://www.1-chome.com/mobileDetail/1445/1445,,
S,new_candidate,スマートフォン,iPhone 16 256GB ウルトラマリン,4549995539127,99000,https://www.1-chome.com/mobileDetail/1061/1061,,
S,new_candidate,スマートフォン,iPhone 16 256GB ティール,4549995539134,99000,https://www.1-chome.com/mobileDetail/1061/1061,,
S,new_candidate,スマートフォン,iPhone 16 256GB ピンク,4549995539110,99000,https://www.1-chome.com/mobileDetail/1061/1061,,
S,new_candidate,スマートフォン,iPhone 16 256GB ブラック,4549995539097,99000,https://www.1-chome.com/mobileDetail/1061/1061,,
S,new_candidate,スマートフォン,iPhone 16 256GB ホワイト,4549995539103,99000,https://www.1-chome.com/mobileDetail/1061/1061,,
S,new_candidate,スマートフォン,iPhone 16 Plus 128GB ウルトラマリン,4549995525519,91000,https://www.1-chome.com/mobileDetail/1057/1057,,
S,new_candidate,スマートフォン,iPhone 16 Plus 128GB ティール,4549995525564,91000,https://www.1-chome.com/mobileDetail/1057/1057,,
S,new_candidate,スマートフォン,iPhone 16 Plus 128GB ピンク,4549995525465,91000,https://www.1-chome.com/mobileDetail/1057/1057,,
S,new_candidate,スマートフォン,iPhone 16 Plus 128GB ブラック,4549995525366,91000,https://www.1-chome.com/mobileDetail/1057/1057,,
S,new_candidate,スマートフォン,iPhone 16 Plus 128GB ホワイト,4549995525410,91000,https://www.1-chome.com/mobileDetail/1057/1057,,
S,new_candidate,スマートフォン,iPhone 16 128GB ウルトラマリン,4549995539073,86500,https://www.1-chome.com/mobileDetail/1060/1060,,
S,new_candidate,スマートフォン,iPhone 16 128GB ティール,4549995539080,86500,https://www.1-chome.com/mobileDetail/1060/1060,,
S,new_candidate,スマートフォン,iPhone 16 128GB ピンク,4549995539066,86500,https://www.1-chome.com/mobileDetail/1060/1060,,
S,new_candidate,スマートフォン,iPhone 16 128GB ブラック,4549995539042,86500,https://www.1-chome.com/mobileDetail/1060/1060,,
S,new_candidate,スマートフォン,iPhone 16 128GB ホワイト,4549995539059,86500,https://www.1-chome.com/mobileDetail/1060/1060,,
S,new_candidate,スマートフォン,iPhone 17e 256GB ソフトピンク,4549995677584,81000,https://www.1-chome.com/mobileDetail/1444/1444,,
S,new_candidate,スマートフォン,iPhone 17e 256GB ブラック,4549995677485,81000,https://www.1-chome.com/mobileDetail/1444/1444,,
